Code,Product name,Description,,,,,,,,,,,,,,,,,
PRD-Global-AAI-AI-002,Deepfake,支持eKYC的deepfake，优化deepfake检测准确率,,,,,,,,,,,,,,,,,
PJT-Global-AAI-AI-001,GenAI,支持eKYC的genAI，开发证件生成技术，来辅助产品测试和迭代， PJT-Global-AAI-AI-001,,,,,,,,,,,,,,,,,
PJT-Global-AAI-AI-002,xAI,支持eKYC的xAI， 开发多模态AI解释能力，来支持新的产品功能和提高人审效率,,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-IDOCR,ID OCR,"The ID OCR (Identity Document Optical Character Recognition) product is a professional solution leveraging advanced optical character recognition technology. It can accurately identify characters, numbers, and letters on common documents like identity cards, driver's licenses, and passports worldwide with high precision. It supports multiple collection methods, adapts to complex environments, and offers rapid and accurate recognition.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-IDOCR,ID OCR,"The ID OCR (Identity Document Optical Character Recognition) product is a professional solution leveraging advanced optical character recognition technology. It can accurately identify characters, numbers, and letters on common documents like identity cards, driver's licenses, and passports worldwide with high precision. It supports multiple collection methods, adapts to complex environments, and offers rapid and accurate recognition.",,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-IDOCR,ID OCR,"The ID OCR (Identity Document Optical Character Recognition) product is a professional solution leveraging advanced optical character recognition technology. It can accurately identify characters, numbers, and letters on common documents like identity cards, driver's licenses, and passports worldwide with high precision. It supports multiple collection methods, adapts to complex environments, and offers rapid and accurate recognition.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-IDOCR,ID OCR,"The ID OCR (Identity Document Optical Character Recognition) product is a professional solution leveraging advanced optical character recognition technology. It can accurately identify characters, numbers, and letters on common documents like identity cards, driver's licenses, and passports worldwide with high precision. It supports multiple collection methods, adapts to complex environments, and offers rapid and accurate recognition.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-EKYC-IDOCR,ID OCR,"The ID OCR (Identity Document Optical Character Recognition) product is a professional solution leveraging advanced optical character recognition technology. It can accurately identify characters, numbers, and letters on common documents like identity cards, driver's licenses, and passports worldwide with high precision. It supports multiple collection methods, adapts to complex environments, and offers rapid and accurate recognition.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-IDIQA,ID IQA,"The ADVANCE global image quality check can detect the image quality of the ID cards in real-time. No need of taking pictures by themselves, users can just present the ID cards and the card image will be captured automatically by Advance image quality check product. ADVANCE global image quality check can help to guide users to upload high-quality images, and improve the effectiveness & accuracy of the document recognition (OCR) ability.
1. for OCRxIQA bundled price proposal: Refer to OCR's MSRP & can offer IQA as value added product at no additional price. 
2. For IQA sold as a separate/standalone service without OCR, pls refer to IQA's MSRP as per transaction price.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-IDIQA,ID IQA,"The ADVANCE global image quality check can detect the image quality of the ID cards in real-time. No need of taking pictures by themselves, users can just present the ID cards and the card image will be captured automatically by Advance image quality check product. ADVANCE global image quality check can help to guide users to upload high-quality images, and improve the effectiveness & accuracy of the document recognition (OCR) ability.
1. for OCRxIQA bundled price proposal: Refer to OCR's MSRP & can offer IQA as value added product at no additional price. 
3. For IQA sold as a separate/standalone service without OCR, pls refer to IQA's MSRP as per transaction price.",,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-IDIQA,ID IQA,"The ADVANCE global image quality check can detect the image quality of the ID cards in real-time. No need of taking pictures by themselves, users can just present the ID cards and the card image will be captured automatically by Advance image quality check product. ADVANCE global image quality check can help to guide users to upload high-quality images, and improve the effectiveness & accuracy of the document recognition (OCR) ability.
1. for OCRxIQA bundled price proposal: Refer to OCR's MSRP & can offer IQA as value added product at no additional price. 
4. For IQA sold as a separate/standalone service without OCR, pls refer to IQA's MSRP as per transaction price.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-IDIQA,ID IQA,"The ADVANCE global image quality check can detect the image quality of the ID cards in real-time. No need of taking pictures by themselves, users can just present the ID cards and the card image will be captured automatically by Advance image quality check product. ADVANCE global image quality check can help to guide users to upload high-quality images, and improve the effectiveness & accuracy of the document recognition (OCR) ability.
1. for OCRxIQA bundled price proposal: Refer to OCR's MSRP & can offer IQA as value added product at no additional price. 
5. For IQA sold as a separate/standalone service without OCR, pls refer to IQA's MSRP as per transaction price.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-IDIQA,ID IQA,"The ADVANCE global image quality check can detect the image quality of the ID cards in real-time. No need of taking pictures by themselves, users can just present the ID cards and the card image will be captured automatically by Advance image quality check product. ADVANCE global image quality check can help to guide users to upload high-quality images, and improve the effectiveness & accuracy of the document recognition (OCR) ability.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-IDForgery,ID Forgery,"The ID Forgery product is a professional solution dedicated to identity forgery detection. By leveraging advanced AI and image recognition technologies, it can accurately identify various types of documents and quickly detect signs of forgery or tampering, whether it's an identity card, passport, driver's license, etc. This product is easy to operate and can be efficiently integrated into the work processes of various industries. It has been widely applied in fields such as finance, government affairs, and transportation, building a solid security line against identity fraud and fully ensuring the secure operation of businesses.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-IDForgery,ID Forgery,"The ID Forgery product is a professional solution dedicated to identity forgery detection. By leveraging advanced AI and image recognition technologies, it can accurately identify various types of documents and quickly detect signs of forgery or tampering, whether it's an identity card, passport, driver's license, etc. This product is easy to operate and can be efficiently integrated into the work processes of various industries. It has been widely applied in fields such as finance, government affairs, and transportation, building a solid security line against identity fraud and fully ensuring the secure operation of businesses.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-IDForgery,ID Forgery,"The ID Forgery product is a professional solution dedicated to identity forgery detection. By leveraging advanced AI and image recognition technologies, it can accurately identify various types of documents and quickly detect signs of forgery or tampering, whether it's an identity card, passport, driver's license, etc. This product is easy to operate and can be efficiently integrated into the work processes of various industries. It has been widely applied in fields such as finance, government affairs, and transportation, building a solid security line against identity fraud and fully ensuring the secure operation of businesses.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-IDForgery,ID Forgery,"The ID Forgery product is a professional solution dedicated to identity forgery detection. By leveraging advanced AI and image recognition technologies, it can accurately identify various types of documents and quickly detect signs of forgery or tampering, whether it's an identity card, passport, driver's license, etc. This product is easy to operate and can be efficiently integrated into the work processes of various industries. It has been widely applied in fields such as finance, government affairs, and transportation, building a solid security line against identity fraud and fully ensuring the secure operation of businesses.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-DocumentVerification,Document Verification,"Document Verification is a cutting-edge document validation solution. Relying on advanced AI and OCR technologies, it can accurately distinguish the authenticity of various documents such as identity cards and passports in milliseconds, and at the same time conduct in-depth reviews to check if there is any tampering with the document content.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-DocumentVerification,Document Verification,"Document Verification is a cutting-edge document validation solution. Relying on advanced AI and OCR technologies, it can accurately distinguish the authenticity of various documents such as identity cards and passports in milliseconds, and at the same time conduct in-depth reviews to check if there is any tampering with the document content.",,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-DocumentVerification,Document Verification,"Document Verification is a cutting-edge document validation solution. Relying on advanced AI and OCR technologies, it can accurately distinguish the authenticity of various documents such as identity cards and passports in milliseconds, and at the same time conduct in-depth reviews to check if there is any tampering with the document content.",,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-DocumentVerification,Document Verification,"Document Verification is a cutting-edge document validation solution. Relying on advanced AI and OCR technologies, it can accurately distinguish the authenticity of various documents such as identity cards and passports in milliseconds, and at the same time conduct in-depth reviews to check if there is any tampering with the document content.",,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-DocumentVerification,Document Verification,"Document Verification is a cutting-edge document validation solution. Relying on advanced AI and OCR technologies, it can accurately distinguish the authenticity of various documents such as identity cards and passports in milliseconds, and at the same time conduct in-depth reviews to check if there is any tampering with the document content.",,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-DocumentRecognition,Document Recognition,-,,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-DocumentRecognition,Document Recognition,-,,,,,,,,,,,,,,,,,
PRD-PH-ADVI-EKYC-DocumentRecognition,Document Recognition,-,,,,,,,,,,,,,,,,,
PRD-MY-ADVS-EKYC-DocumentRecognition,Document Recognition,-,,,,,,,,,,,,,,,,,
PRD-GLOBAL-AIPL-DocumentRecognition,Document Recognition,-,,,,,,,,,,,,,,,,,
PRD-ID-AII-EKYC-LivenessDetection,Liveness Detection,"The Liveness Detection product is designed based on facial detection algorithms and liveness detection technology. It captures dynamic images in real-time through a camera and identifies facial features to verify user authenticity. This product effectively prevents identity fraud and significantly enhances the credibility of remote online transactions, thoroughly eliminating fraudulent activities such as using static photos, pre-recorded videos, or masks.",,,,,,,,,,,,,,,,,
PRD-TH-ATH-EKYC-LivenessDetection,Liveness Detection,"The Liveness Detection product is designed based on facial detection algorithms and liveness detection technology. It captures dynamic images in real-time through a camera and identifies facial features to verify user authenticity. This product effectively prevents identity fraud and significantly enhances the credibility of remote online transactions, thoroughly eliminating fraudulent activities such as using static photos, pre-recorded videos, or masks.",,,,,,,,,,,,,,,,,
